Rank,Name,Net Worth,Source
1,Elon Musk,$248.1 B,"Tesla, SpaceX"
2,Jeff Bezos,$216.3 B,Amazon
3,Bernard Arnault & family,$197.1 B,LVMH
4,Mark Zuckerberg,$181.5 B,Facebook
5,Larry Ellison,$179.4 B,Oracle
6,Larry Page,$155.1 B,Google
7,Sergey Brin,$148.4 B,Google
8,Bill Gates,$134.5 B,Microsoft
9,Steve Ballmer,$134.5 B,Microsoft
10,Warren Buffett,$128.1 B,Berkshire Hathaway
11,Mukesh Ambani,$123.3 B,Diversified
12,Jensen Huang,$112.1 B,Semiconductors
13,Amancio Ortega,$111.8 B,Zara
14,Michael Dell,$109.5 B,Dell Technologies
15,Michael Bloomberg,$106.2 B,Bloomberg LP
16,Carlos Slim Helu & family,$93.2 B,Telecom
17,Francoise Bettencourt Meyers & family,$90.1 B,L'Oréal
18,Jim Walton & family,$86.2 B,Walmart
19,Rob Walton & family,$85.0 B,Walmart
20,Gautam Adani,$84.5 B,"Infrastructure, commodities"
21,Alice Walton,$80.1 B,Walmart
22,David Thomson & family,$71.7 B,Media
23,Prajogo Pangestu,$67.9 B,"Petrochemicals, energy"
24,Julia Koch & family,$65.2 B,Koch Industries
25,Charles Koch & family,$59.4 B,Koch Industries
26,Changpeng Zhao,$57.7 B,Cryptocurrency exchange
27,Zhong Shanshan,$53.0 B,"Beverages, pharmaceuticals"
28,Colin Huang,$47.7 B,E-commerce
29,Zhang Yiming,$43.4 B,TikTok
30,Giovanni Ferrero,$43.2 B,"Nutella, chocolates"
31,Savitri Jindal & family,$42.1 B,Steel
32,Klaus-Michael Kuehne,$41.5 B,Shipping
33,Ma Huateng,$40.6 B,Online games
34,Mark Mateschitz,$39.1 B,Red Bull
35,Stephen Schwarzman,$38.1 B,Investments
36,Thomas Peterffy,$38.1 B,Discount brokerage
37,Gerard Wertheimer,$38.0 B,Chanel
37,Alain Wertheimer,$38.0 B,Chanel
39,Tadashi Yanai & family,$37.7 B,Fashion retail
40,Ken Griffin,$37.5 B,Hedge funds
41,Jacqueline Mars,$37.3 B,"Candy, pet food"
41,John Mars,$37.3 B,"Candy, pet food"
43,MacKenzie Scott,$37.2 B,Amazon
44,Gianluigi Aponte,$36.8 B,Shipping
44,Rafaela Aponte-Diamant,$36.8 B,Shipping
46,Li Ka-shing,$35.8 B,Diversified
47,Masayoshi Son,$35.6 B,"Telecom, Investments"
48,Dieter Schwarz,$35.4 B,Retail
49,Shiv Nadar,$34.2 B,Software services
50,Phil Knight & family,$33.8 B,Nike
51,Reinhold Wuerth & family,$32.6 B,Fasteners
52,Germán Larrea Mota Velasco & family,$31.8 B,Mining
53,Gina Rinehart,$31.2 B,Mining
54,Lukas Walton,$30.8 B,Walmart
55,Len Blavatnik,$30.2 B,"Music, chemicals"
56,Abigail Johnson,$29.8 B,Fidelity Investments
57,William Ding,$29.7 B,Online games
58,Iris Fontbona & family,$29.2 B,Mining
59,Miriam Adelson & family,$28.9 B,Casinos
60,Vagit Alekperov,$28.6 B,Oil
61,Eduardo Saverin,$28.6 B,Facebook
62,Jeff Yass,$28.5 B,"Trading, investments"
63,Vinod Adani,$27.8 B,"Infrastructure, commodities"
64,Daniel Gilbert,$27.7 B,Quicken Loans
65,Leonid Mikhelson & family,$27.4 B,"Gas, chemicals"
66,Lee Shau Kee,$27.2 B,Real estate
67,Andrea Pignataro,$27.1 B,Financial software
68,François Pinault & family,$26.9 B,Luxury goods
69,Vladimir Lisin,$26.6 B,"Steel, transport"
70,Eric Schmidt,$26.5 B,Google
71,Thomas Frist Jr & family,$26.1 B,Hospitals
72,Dilip Shanghvi,$25.9 B,Pharmaceuticals
73,Alexey Mordashov & family,$25.5 B,"Steel, investments"
74,Robin Zeng,$25.4 B,Batteries
75,Low Tuck Kwong,$25.4 B,Coal
76,Eyal Ofer,$25.0 B,"Real estate, shipping"
77,Elaine Marshall & family,$24.9 B,Koch Industries
78,Jack Ma,$24.6 B,E-commerce
79,R. Budi Hartono,$24.5 B,"Banking, tobacco"
80,He Xiangjian & family,$24.5 B,Home appliances
81,Autry Stephens,$24.3 B,Oil
82,Emmanuel Besnier,$24.0 B,Cheese
83,Kumar Birla,$24.0 B,Commodities
84,Stefan Quandt,$23.8 B,BMW
85,Vladimir Potanin,$23.7 B,Metals
86,Susanne Klatten,$23.7 B,"BMW, pharmaceuticals"
87,Michael Hartono,$23.5 B,"Banking, tobacco"
88,Gennady Timchenko,$23.4 B,"Oil, gas"
89,John Menard Jr,$21.9 B,Home improvement stores
90,Cyrus Poonawalla,$21.5 B,Vaccines
91,Radhakishan Damani,$21.4 B,"Retail, investments"
92,Takemitsu Takizaki,$21.1 B,Sensors
93,Diane Hendricks,$20.9 B,Building supplies
94,David Tepper,$20.6 B,Hedge funds
95,Steve Cohen,$19.8 B,Hedge funds
96,Rupert Murdoch & family,$19.6 B,"Newspapers, TV network"
97,Andreas von Bechtolsheim & family,$19.4 B,Google
98,Idan Ofer,$19.4 B,Shipping
99,Andrey Melnichenko & family,$19.2 B,"Fertilizers, coal"
100,Vicky Safra & family,$18.7 B,Banking
101,Kushal Pal Singh,$18.7 B,Real estate
102,Harold Hamm & family,$18.5 B,Oil & gas
103,Stefan Persson,$18.2 B,H&M
104,Ravi Jaipuria,$18.0 B,"Soft drinks, fast food"
105,Dustin Moskovitz,$18.0 B,Facebook
106,Donald Bren,$18.0 B,Real estate
107,Michael Platt,$18.0 B,Hedge funds
108,Henry Samueli,$17.9 B,Semiconductors
109,Wang Chuanfu,$17.9 B,"Batteries, automobiles"
110,Renata Kellnerova & family,$17.8 B,"Finance, telecommunications"
111,Qin Yinglin,$17.1 B,Pig breeding
112,Andrew Forrest & family,$17.1 B,Mining
113,John Fredriksen,$16.8 B,Shipping
114,Harry Triguboff,$16.7 B,Real estate
115,James Ratcliffe,$16.3 B,Chemicals
116,Rick Cohen & family,$16.2 B,Warehouse automation
117,Stanley Kroenke,$16.2 B,"Sports, real estate"
118,Jan Koum,$16.2 B,WhatsApp
119,David Cheriton,$15.9 B,Google
120,Jorge Paulo Lemann & family,$15.8 B,Beer
121,Pavel Durov,$15.5 B,Messaging app
122,Lakshmi Mittal,$15.4 B,Steel
123,Ray Dalio,$15.4 B,Hedge funds
124,Karl Albrecht Jr. & family,$15.3 B,Supermarkets
124,Beate Heister,$15.3 B,Supermarkets
126,George Kaiser,$15.2 B,"Oil & gas, banking"
127,Philip Anschutz,$15.1 B,"Energy, sports, entertainment"
128,Henry Nicholas III,$15.1 B,Semiconductors
129,Laurene Powell Jobs & family,$15.1 B,"Apple, Disney"
130,Christy Walton,$15.0 B,Walmart
131,Leon Black,$14.7 B,Private equity
132,Li Xiting,$14.6 B,medical devices
133,John Doerr,$14.4 B,Venture capital
134,Dang Yanbao,$14.4 B,Coal
135,David Green & family,$14.3 B,Retail
136,Jerry Jones,$14.2 B,Dallas Cowboys
137,Charlene de Carvalho-Heineken & family,$14.2 B,Heineken
138,Nicolas Puech,$14.2 B,Hermes
139,Lu Xiangyang,$14.1 B,"Automobiles, batteries"
140,Uday Kotak,$13.8 B,Banking
141,Lei Jun,$13.7 B,Smartphones
142,Alisher Usmanov,$13.6 B,"Steel, telecom, investments"
143,Theo Albrecht Jr & family,$13.6 B,"Aldi, Trader Joe's"
144,Jeffery Hildebrand,$13.5 B,Oil
145,James Dyson,$13.5 B,Vacuums
146,Mangal Prabhat Lodha,$13.4 B,Real estate
147,Aliko Dangote,$13.4 B,"Cement, sugar"
148,Mikhail Fridman,$13.3 B,"Oil, banking, telecom"
149,George Roberts,$13.3 B,Private equity
150,Peter Woo,$13.2 B,Real estate
151,Joseph Lau,$13.2 B,Real estate
152,Barry Lam,$12.9 B,Electronics
153,Eric Li,$12.9 B,Automobiles
154,Wang Wei,$12.8 B,Package delivery
155,Zhang Zhidong,$12.7 B,Internet media
156,Georg Stumpf,$12.6 B,"Real estate, construction"
157,Hasso Plattner & family,$12.5 B,Software
158,David Duffield,$12.5 B,Business software
159,Terry Gou,$12.4 B,Electronics
160,Anders Holch Povlsen,$12.4 B,Fashion retail
161,Dhanin Chearavanont,$12.4 B,Diversified
162,Israel Englander,$12.4 B,Hedge funds
163,Henry Kravis,$12.2 B,Private equity
164,David Velez & family,$12.1 B,Fintech
165,John Tu,$12.1 B,Computer hardware
166,David Sun,$12.1 B,Computer hardware
167,Mike Cannon-Brookes,$12.1 B,Software
168,Yu Yong,$12.0 B,Mining
169,Leonard Lauder,$12.0 B,Estee Lauder
170,Edward Johnson IV,$12.0 B,Fidelity
171,Manuel Villar,$12.0 B,Real estate
172,Azim Premji,$12.0 B,Software services
173,Giorgio Armani,$11.9 B,Luxury goods
174,Robert Kuok,$11.9 B,"Palm oil, shipping, property"
175,Shahid Khan,$11.8 B,Auto parts
176,Andrew Beal,$11.7 B,"Banks, real estate"
177,Huang Shilin,$11.7 B,Batteries
178,Zheng Shuliang & family,$11.7 B,Aluminum products
179,Scott Farquhar,$11.7 B,Software
180,Ivan Glasenberg,$11.6 B,Mining
181,Judy Love & family,$11.6 B,Gas stations
182,Ricardo Salinas Pliego & family,$11.5 B,"Retail, media"
183,Michael Rubin,$11.5 B,Online retail
184,Johann Rupert & family,$11.5 B,Luxury goods
185,Jay Y. Lee,$11.5 B,Samsung
186,Jay Chaudhry,$11.4 B,Security software
187,Wei Jianjun & family,$11.3 B,Automobiles
188,Nancy Walton Laurie,$11.3 B,Walmart
189,Ken Fisher,$11.2 B,Money management
190,Sky Xu,$11.2 B,E-commerce
191,Harry Stine,$11.1 B,Agriculture
192,Robert Kraft,$11.1 B,"Manufacturing, New England Patriots"
193,Pankaj Patel,$11.1 B,Pharmaceuticals
194,Ernesto Bertarelli,$11.1 B,"Biotech, investments"
195,Donald Newhouse,$11.1 B,Media
196,Ernest Garcia II,$11.0 B,Used cars
197,Patrick Ryan,$11.0 B,Insurance
198,Goh Cheng Liang,$11.0 B,Paints
199,Mikhail Prokhorov,$11.0 B,Investments
200,Enrique Razon Jr.,$10.9 B,Ports
201,Melinda French Gates,$10.9 B,Microsoft
202,Sunil Mittal,$10.9 B,Telecom
203,Antony Ressler,$10.8 B,Finance
204,Ann Walton Kroenke,$10.8 B,Walmart
205,Kwong Siu-hing,$10.8 B,Real estate
206,James Goodnight,$10.7 B,Software
207,Suleiman Kerimov & family,$10.7 B,Gold
208,Viktor Rashnikov,$10.6 B,Steel
209,Friedhelm Loh,$10.5 B,Manufacturing
210,Marcel Herrmann Telles & family,$10.5 B,Beer
211,Charles Schwab,$10.5 B,Discount brokerage
212,Leonid Fedun,$10.5 B,Oil
213,Alexander Gerko,$10.3 B,Trading
214,Trudy Cathy White,$10.3 B,Chick-fil-A
214,Bubba Cathy,$10.3 B,Chick-fil-A
214,Dan Cathy,$10.3 B,Chick-fil-A
217,Xavier Niel,$10.3 B,"Internet, telecom"
218,Eric Smidt,$10.3 B,Hardware stores
